Farmer,Crop,Village,Ndvi,Date
Trevor,Mango,Manwada,0.337,2020-12-24
Fred,Vegetables,Kothapeta,0.195,2020-12-24
Horace,Maize,Vardavelli,0.343,2020-12-24
Nelson,Others,Desaipalli,0.202,2020-12-24
Charlotte,Maize,Vardavelli,0.339,2020-12-24
Elizabeth,Maize,Desaipalli,0.612,2020-12-24
Nancy,Cotton,Desaipalli,0.232,2020-12-24
Bill,Maize,Desaipalli,0.256,2020-12-24
Laura,Mango,Desaipalli,0.597,2020-12-24
Francis,Cotton,Desaipalli,0.213,2020-12-24
Ethel,Maize,Desaipalli,0.141,2020-12-24
Patrick,Cotton,Desaipalli,0.408,2020-12-24
Mary,Mango,Desaipalli,0.330,2020-12-24
John,Others,Desaipalli,0.360,2020-12-24
Ruth,Maize,Desaipalli,0.555,2020-12-24
Felix,Rice,Desaipalli,0.441,2020-12-24
Dane,Maize,Desaipalli,0.145,2020-12-24
Anne,Vegetables,Marlapet,0.614,2020-12-24
Debra,Cotton,Marlapet,0.291,2020-12-24
Douglas,Rice,Marlapet,0.657,2020-12-24
Carolyn,Rice,Marlapet,0.608,2020-12-24
Mary,Vegetables,Marlapet,0.666,2020-12-24
Fern,Rice,Marlapet,0.592,2020-12-24
Alexis,Others,Marlapet,0.618,2020-12-24
Richard,Rice,Marlapet,0.099,2020-12-24
David,Others,Vilasagar,0.681,2020-12-24
Mary,Rice,Vilasagar,0.113,2020-12-24
Dave,Others,Vilasagar,0.131,2020-12-24
Shirley,Mango,Ramannapet,0.477,2020-12-24
Carol,Mango,Ramannapet,0.281,2020-12-24
Robert,Maize,Ramannapet,0.173,2020-12-24
Bruce,Maize,Ramannapet,0.595,2020-12-24
Fay,Cotton,Ramannapet,0.279,2020-12-24
Jeffery,Vegetables,Ramannapet,0.630,2020-12-24
Jerry,Rice,Boinpalli,0.565,2020-12-24
John,Rice,Boinpalli,0.217,2020-12-24
Joyce,Cotton,Boinpalli,0.661,2020-12-24
Steven,Mango,Stambampalli,0.207,2020-12-24
Brian,Maize,Stambampalli,0.296,2020-12-24
Edward,Vegetables,Stambampalli,0.491,2020-12-24
Evangeline,Maize,Stambampalli,0.599,2020-12-24
Laura,Maize,Stambampalli,0.586,2020-12-24
Jean,Vegetables,Boinpalli,0.219,2020-12-24
Tania,Others,Boinpalli,0.256,2020-12-24
David,Mango,Boinpalli,0.121,2020-12-24
Teresa,Maize,Anathapally,0.639,2020-12-24
Linda,Others,Anathapally,0.278,2020-12-24
Roy,Maize,Malkapur,0.673,2020-12-24
Doris,Cotton,Malkapur,0.210,2020-12-24
Paulette,Maize,Anathapally,0.138,2020-12-24
Deidra,Vegetables,Anathapally,0.685,2020-12-24
Trevor,Mango,Manwada,0.401,2020-11-24
Fred,Vegetables,Kothapeta,0.236,2020-11-24
Horace,Maize,Vardavelli,0.343,2020-11-24
Nelson,Others,Desaipalli,0.398,2020-11-24
Charlotte,Maize,Vardavelli,0.310,2020-11-24
Elizabeth,Maize,Desaipalli,0.637,2020-11-24
Nancy,Cotton,Desaipalli,0.600,2020-11-24
